,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Logistic (train),0.804,0.8411274823830878,0.875,0.8750325662179765,0.8635797629479316,0.8560789389761194,0.8606277467632736,0.8671720456635342,0.898740552813636,0.9207200987110821,0.9468751667190288,
Logistic (test),,0.8353619474695708,0.875,0.8743378202344768,0.8574920444587926,0.8546157165100269,0.8622461099893098,0.8418193643887232,0.8739246996620865,0.901176124769714,0.9417120636407287,0.9595667999497947
Logistic_spline (train),0.82,0.8424087123638693,0.8784013605442177,0.8777247069040383,0.8629340958354471,0.8564541242238355,0.8646959258819337,0.8745463924462287,0.9024048352538615,0.9232357273960851,0.948042940894029,
Logistic_spline (test),,0.8424087123638693,0.8762755102040817,0.8765957446808511,0.8601669510676567,0.8559851426641905,0.8683780734053925,0.8732949065871218,0.8968750999349756,0.9199989062483979,0.9439942619015157,0.9639418335694178
XGboost (train),1.0,0.9935938500960922,0.9019982993197279,0.9157620495006513,0.9163861089332657,0.892209278331176,0.8836782872075069,0.8844371677843318,0.9089179307330697,0.9282601488185773,0.9540952121258826,
XGboost (test),,0.7719410634208841,0.8454506802721088,0.8694745983499783,0.8499285154268321,0.8510326973943384,0.8628548521202043,0.860246260120663,0.8924912856701239,0.9178592546766426,0.9466499107867953,0.9487367986946621
XGboost_spline (train),1.0,0.9910313901345291,0.9022108843537415,0.9216673903603995,0.920998016879583,0.8926407413660495,0.8836337451003682,0.8846704196290398,0.9082836767543252,0.9280413984981424,0.9544923739011364,
XGboost_spline (test),,0.7584881486226778,0.8528911564625851,0.8692140686061659,0.8547710187704654,0.8478623820511377,0.8628474284356812,0.8652701460066836,0.8943460788180491,0.9206722470784869,0.9459089373255007,0.9653762708217533
