,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Logistic (train),0.7485094850948509,0.7171659093016786,0.7656950551145393,0.8322443424219957,0.8712922742951582,0.8772455925705585,0.8907700451827848,0.9188068690679752,0.9468486251806165,0.9615193483853784,0.9701850683631912,
Logistic (test),,0.6143373829175554,0.7445539899058109,0.8308093887020449,0.861172372855183,0.8740091878392622,0.8949812535360863,0.9135653935624167,0.9416578832799609,0.961148745769545,0.9683261479584756,0.9667532238807939
Logistic_spline (train),0.7854742547425474,0.7312683545086401,0.7815866501264692,0.8452919371749641,0.877851784103795,0.8850510798801503,0.8973884935033334,0.9189591744649903,0.9434164040791064,0.9585547305775577,0.9678228830935279,
Logistic_spline (test),,0.6079507867322019,0.7815251662773385,0.8451093054673301,0.873836657883303,0.8859108508647587,0.9012352730958348,0.9207210243236875,0.9427511324699716,0.958413525448547,0.9656114417490804,0.9605460679948161
XGboost (train),1.0,0.9999845435716715,0.8866975628219045,0.9420600992381533,0.9544611471729245,0.9321881684188802,0.9227390185795731,0.9343328254924008,0.9559059220971088,0.968798838270104,0.9821825525426644,
XGboost (test),,0.5759420693066247,0.6906457846673035,0.7764232206254835,0.8351559884201896,0.8745393254186654,0.8933874380526228,0.9177272191264692,0.9431740250768736,0.9624401276203448,0.9688970252010904,0.9672590882961681
XGboost_spline (train),1.0,0.9999319917153544,0.8872134018951199,0.9498144969594418,0.9568254789135986,0.9339859073807104,0.9233180680971118,0.9344801214183682,0.9554211580614844,0.9691976728951803,0.9823684685421924,
XGboost_spline (test),,0.5585134007233608,0.6912572884413698,0.7795679410995263,0.8489393062559514,0.8699446920642026,0.8961912007578277,0.9175158239113562,0.9432549223378729,0.9622231233383314,0.9688032613737423,0.9663012524195647
