LoanStatus,loan_amnt,sub_grade,annual_inc,last_fico_range_low
0.0,0.1370865642423254,0.13115893926873756,0.18233468501260452,0.011015597898785607
0.0,0.12508373399570946,0.20198996518095946,0.11944607565467734,0.015079584615642898
0.0,0.1389910675815918,0.29073107682975524,0.18804256165243916,0.49648981197641684
0.0,0.12508373399570946,0.2297181854877013,0.1830829355392823,0.018935075300514987
0.0,0.18616032199934401,0.07484787798189661,0.11788248402006463,0.18364862360397077
0.0,0.1370865642423254,0.06599335952188536,0.16948848331856123,0.44788708492177287
0.0,0.1847501191104577,0.24825613946846492,0.11999630819993683,0.011015597898785607
0.0,0.1336372224955792,0.22049462067937245,0.1567361985492169,0.2091349545794604
0.0,0.15145188695051584,0.09426141230655438,0.17924699916593284,0.3710716892682972
0.0,0.13876750294486714,0.19216344266112134,0.11958065236297732,0.13020318833747502
0.0,0.13136405018318206,0.037701480086089964,0.1302464786673623,0.005248891266397777
0.0,0.13876750294486714,0.06599335952188536,0.17749347097443316,0.018935075300514987
0.0,0.1740850895625975,0.07484787798189661,0.12688779973098316,0.42987607024346347
0.0,0.16094452097398676,0.13115893926873756,0.12158100246031037,0.13020318833747502
0.0,0.16363303362032006,0.07484787798189661,0.12408890700823426,0.006866464321792734
0.0,0.16825559602762036,0.3039777775243876,0.11508416088805459,0.060512028664240713
0.0,0.1389910675815918,0.1702194418625429,0.1760761307047771,0.2541816690556547
0.0,0.1865607122904028,0.31714599349931477,0.12125194117894386,0.008890527927377502
0.0,0.13651545653273617,0.21133844593992004,0.14943701964020642,0.28978970565631607
0.0,0.13876750294486714,0.11801971338598405,0.17011421105506627,0.45656221826012283
0.0,0.13756825699689712,0.1702194418625429,0.1567361985492169,0.015079584615642898
0.0,0.16094452097398676,0.18162829368788183,0.12381497999721383,0.04478030629962879
0.0,0.13876750294486714,0.09426141230655438,0.1870984610516045,0.006388552158299749
0.0,0.13876750294486714,0.18162829368788183,0.1323326226208915,0.012605108552766149
0.0,0.18487130054463308,0.29773033867216747,0.11855579372364305,0.0330734225217794
0.0,0.18724186109376703,0.28308906211398743,0.11945038052421952,0.0330734225217794
0.0,0.1283608221353952,0.08397888263336178,0.14943701964020642,0.015079584615642898
0.0,0.16960835487627,0.06599335952188536,0.11958065236297732,0.024711977777045046
0.0,0.1255199506367055,0.037701480086089964,0.11872473636901222,0.0056079448754841514
0.0,0.13876750294486714,0.1446332994641656,0.1193643652748415,0.060512028664240713
0.0,0.1276308286086008,0.20198996518095946,0.12107080208108137,0.006866464321792734
0.0,0.13247138578728154,0.13115893926873756,0.17924699916593284,0.31711085889089935
0.0,0.18616032199934401,0.09426141230655438,0.11965933618944644,0.006040939339512743
0.0,0.18616032199934401,0.1702194418625429,0.1212534751681751,0.024711977777045046
0.0,0.12493531915184028,0.037701480086089964,0.11958065236297732,0.04478030629962879
0.0,0.1283608221353952,0.18162829368788183,0.11927852276120661,0.18364862360397077
